foa-0001	permission final episode
foa-0002	cognitive_activity make decisions spur moment rest time warning collect research decision sound can book process research activities draw knowledge technical perspective terms tools speed activity distributed_networks distributed networks knowledge world_wide_web build tools for searching collections text media argument cognitive task academics language users adaptive wide range strategies for information environment use term cognitive highlight use internal representations help simple cognitive structures increase complexity simple complex process active making paths complex sets features seem path forward humans expert searching complex_environments complex environments language system linguistic_features linguistic features natural least cultural system definition times languages change features objects for express things form reactions express reactions first experience language children species children learn word language_games language games use language baby tool make move word functional language terms jobs will central conception keywords documents queries mean task language species advantages writing down facts down list things limited_memory memory advantages individual use language organize strategies use writing things down facts consistent can mean vice linguistic society value reading writing skills let shared symbols coordinate actions cultures scholarship curricula can terms encyclopedia_britannica think organism human search for object times language role society searching for passages academic community libraries search find books facts author thought authors people far time place language course library books topics topic interest looking for things relevant search basic skill academic for references order write term paper read textbook looking for help exercise scientific journals see question find reference paper paragraph will search its object can search world_wide_web for opinions music movies software course examples academic exercise information commodities skill information society places value infrastructure knowledge for time for example searching techniques will text collections linguistic objects files email_messages email messages manuals literature web_servers servers technical reports core collections evidence real vital communicate author interests audience text balance author audience textual corpus will documents authors styles for purposes searching corpus his purposes use language way authors individual linguistic_expression linguistic expression authors write express questions read authors documents for word games meaning semantics words sentences questions documents can document topic least semantics document topic typical library_science library science technical solutions informed can contribute philosophy language examples will concern semantics documents techniques computational_linguistics linguistics focus syntactic_analysis syntactic analysis individual sentences fact availability types electronic artifacts email_messages email messages corpora browsing_behaviors browsing behaviors users empirical grounding for theories language its core process browsing readers can phases question answer answer loop first step people interest building search_engine search engine call users questions people frame mind cognitive state gap knowledge fill topic for moment users topic knowledge gap characteristics answer feature problem ignorance users question need search_engine search engine question case call cognitive_state cognitive state users information_need information need question users resources can internal cognitive_state cognitive state expression question language call expression query language query_language query language for question answer question complex characteristics cognitive_state cognitive state translate user question answer answer answer terms user will background_knowledge background knowledge for user answer will search_engine search engine computer program task concerns human cognitive_state cognitive state make computer_system computer system book will issues form problem will search_engine search engine set passages text its response passages presenting users see will call passages document set documents corpus corpus very_large large documents selecting small set answers will difficult will focus for first book final will basic functionality can tools for for education instance problem user waiting line question topic final exam chance question select come need documents way way problem phase process loop user assessment relevant find answer first question answer office perfect process dialog search_engine search engine first delivery answer exchange first iteration conversation exchange process elements answer data can information_need information need terms threads answers simple set documents relevance_feedback relevance feedback for documents search_engine search engine document relevant scenario can student relevance_feedback relevance feedback opportunity information reaction document relevant labeling set documents make use relevance_feedback relevance feedback judgments
foa-0003	section difficult issues will omissions goal problem computer_science computer science information_retrieval information retrieval field computers first words discipline library_science library science automated techniques for cataloging retrieving physical_materials physical materials browsing find methods can digital documents computers field linguistics computational_linguistics linguistics journals field conferences places publish field momentum searching retrieving biomedical_literature biomedical literature system newspaper magazine markets doctors lawyers students course the_internet examples textual collections people searching perspective will approach course assumptions can school student the_internet class_materials class materials problem library_science library science text will characterization cognitive_process cognitive process computer science its traditional techniques search_engine search engine implementation system typical search_engines search now use text course build simple example search_engine search engine guide phases component search_engine search engine human algorithm search_engine search engine will same purpose figure search_engine search engine match features users queries documents sharing features far features keywords documents information_retrieval_system retrieval system
foa-0004	linguistic atoms words words phrases content document bridge gap users characterization information_need information need queries characterization documents focus will perspective users associated documents will
foa-0005	query_language query student office reference desk query_language query language use frame question natural expressive tongue familiar for software_search_engines software search will artificial query_language query language languages will vocabulary set keywords user queries syntax construct query structures
foa-0006	first constraint can apply set keywords will vocabulary domain discourse area user search_engine search engine searching building reference work questions topic build search_engine search engine goals questions will path will challenge focus topic concrete text will domain discourse artificial_intelligence can computer_science computer science algorithms inferences human intelligent topics knowledge_representation machine_learning computer_science term artificial_intelligence hypernym relationship phrases will example task difficult corpus documents material topic computer_science artificial_intelligence topics knowledge_representation machine_learning terms task help users vocabulary relevant topic language user can will central goal design for example seem keyword small artificial_intelligence computer_science keyword for corpus apply document things vocabulary_size vocabulary size number keywords factors scope domain discourse typical language user reading vocabulary words web_search_engines search large test corpora union document types vocabularies times size large lexicon keywords for corpora true field can terms art practice search_engines search difficulty number usable keywords
foa-0007	keywords features users queries face keywords features documents document query documents topic function documents description_language description language same vocabulary words queries content document characterization document process keywords document vocabulary can vocabularies open vocabularies documents corpus authors conference_proceedings conference proceedings for example list potential keywords authors restrict terms list controlled_indexing_vocabulary indexing vocabulary hand authors terms index vocabulary for indexing process text come set keywords document make exercise concrete author report journal things journal author keywords article will pick set keywords audience computer scientists think read publication connections work work nonlinear_regression time_series_prediction now same paper magazine pick keywords meaning audience neural_networks stock_market context keywords audience keywords mean activity keywords will function real issue document same corpus keywords document keywords independent features document fact keywords relation document its prospective readers sensitive characteristics users queries documents same corpus words keywords pick for pick for for reasons spin control
foa-0008	query_syntax status process capture scope corpora domain discourse expressive information_needs information needs users course need restrict users keywords natural for queries keywords empirical evidence typical queries keywords number combinatorial extension basic vocabulary keywords applications for example document query example like can queries keywords size queries sets keywords will simple queries web_search_engines search support simple queries search_engines search advanced_interfaces interfaces operators query_language query language exposure computer_science computer science think sets keywords boolean_operators operators example set documents neural_networks set documents speech_recognition can query neural_networks speech_recognition intersection sets neural_networks speech_recognition union operator problem users things neural_networks fact majority corpus binary subtraction operator make explicit will call syntactic operators search_engine search engine query_language query language discussion will simple keyword vocabulary size users can construct number potential queries express information_need information need
foa-0009	specific_features features query role expressions play process users express information_need information need linguistic_expression linguistic expression thought can difficult true cognitive_state cognitive state familiar syntactic_features syntactic features query_language query language express need for syntax users difficult will difficulties query_session assumptions least making think iteration process time realistic situations can queries will isolation iteration process query dialog search_engine search engine response user directions next query abstract_view abstract view sequence concatenation series basic iterations user search_engine search engine user natural alternation engine assessments can function next query can method for query relevance_feedback relevance feedback example users click documents like search_engine search engine can form query keywords associated documents techniques for relevance_feedback relevance feedback things can learn query_session query session query_session query session evidence users information_need information need can gain query fact will search_engine search engine learn evidence learning_methods methods make users expressions information_needs information needs final documents course leap users session frustration reasons query_session query session boundaries focused_search focused search session next session same user searching topic
foa-0010	documents first process set potential answers users queries will ground abstract_view abstract view practical terms can for example now goal will balance practical description search_engines search work abstract view practices kinds come definition document passage free_text free text text strings characters alphabet make assumption roman_alphabet alphabet standard punctuation like font style add characters like characters asian_languages languages thought free text mean natural_language natural language sort native readers writers use examples free_text free text newspaper article journal paper dictionary_definition dictionary definition text will language language artifacts moment texts like email_messages email messages hand help point texts can spontaneity oral_communication communication for will passages text size newspaper example documents words journal_articles journal make think times email_messages email messages make think size can think book single_document document passages basic definition answers search topic length documents will critical issue search_engine search engine design corpus documents documents can topics documents associated keywords response make simple assumption documents words priori probability document corpus relevant will documents indices way for normalization_procedure normalization procedure matter debate will depth now will issue document_length document length alternative assumptions unit text paragraph documents basic paragraph atoms first argument sample text can request paragraph claim word sentence context for question paragraph rules composition answer questions text can paragraphs average screen page chunks range structural_relationships relationships atomic paragraphs can form passages simple sequential flow order author paragraphs read sequential nature traditional media first books sequential ordering paragraphs human understanding rhetoric form case sequential ordering paragraphs way relationships hierarchical_structure hierarchical structure composing paragraphs footnotes theme bibliographic_citations citations publications references same document relationships conceptual foundations discussion course relationships grown publication typographical conventions rules sequential flow electronic_media electronic media now readers becoming authors need same linear flow capabilities problems text nonlinear hypertext for new_technology technology make traversals jumping reference click button library same make difficult for author present argument now will arguments can nonlinear hypermedia documents paragraphs can assumptions sense scientific paper abstract same content rest paper newspaper article first paragraph summarize following story issues text treatment will
foa-0011	free_text free text documents will meta-data facts document publication information for example document journal issue page author document will aspects free_text free text meta-data documents first query same relation core process criteria publication type date seem sort query structured attributes database_systems database systems applications hybrid database technologies will techniques examples concern characteristics database categories example can mean children magazine terms attributes database query sort work proteins neurogenesis exact_match match for string attribute conventions medical publication physics authors papers director institute laboratory syntactic requirements authorship paper users searching for work semantic_relationship semantic relationship mind
foa-0012	focused individual documents course problem interest corpus documents interest number documents cumulative size will matter methods time space make parameters pick simple example find newspaper article read days for friend searching pages effective paper need search recycling pile standard utility like command can practical alternative corpus small queries simple catalogs first search
